questhilly#1793,71cdfefcd,hacker - crashed lobbies `https://cdn.discordapp.com/attachments/1486544806862782606/1486544907266166954/IMG_3216.png?ex=69c5e454&is=69c492d4&hm=125876c2e2a9bef29e0e35944d941a2139ae3a5d8449b53db3a84a5fb0e4fdaa&`
jocundblur#4007,None,use of racial slurs and homophobia in game https://cdn.discordapp.com/attachments/1486544806862782606/1486580614642667694/image.png?ex=69c60595&is=69c4b415&hm=8a2d585e9afe577772f4b644330fae63b6be710b51cc343ccafe92a1d0dcb853&
softiechic#0187,55291d4ae,racial slurs in game
freesnack#4985,9c1f2cdc2,racial slurs in game
turfelder#0062,7d055d7b5,use of racial slurs in game https://cdn.discordapp.com/attachments/1258178915306836070/1493195338280992798/Screenshot_2026-04-13_031637.png?ex=69de1606&is=69dcc486&hm=a2b00000d5508fdb92229e6c68e6ba1a37e7419970361bb3aecf6d695a9626ba&
ripeflat#1951,79db559af,use of racial slur in game
yearlydue#3076,fa3a2c03a,use of slurs in game
test#1235,None,test
silkychip#7679,b6f5a2d60,racial slur in game
westtext#4391,3af6925aa,racial slur in game
inksingle#8630,None,Lying during verification about the mods they have installed refer here https://discord.com/channels/995954559044304896/1136006709693919344/1494941243610759288
newbetters#6642,5d2323572,hacking
snazzytour#5279,None,hacking
ebbpleased#3115,5a86f21a0,n word in game
throesdeft#6391,ea378d2e4,inappropriate comments in game
foxychart#7070,0f6978b9c,n word in game
silenttram#4839,None,racial slur in game
steamset#6968,None,racial slur in game name
frizzydhow#0913,None,potentially teaming `#open-A-ticket`
richfamily#6529,0d89b13bc,use of racial slurs in game
tipsymatch#1276,013a524e6,racist name ingame
fondkit#6348,None,racial slur in fan
sleekhood#4607,None,racial slurs in game
pianochief#9094,None,racial slur in game name
calmrobot#9500,aed82aff7,racial slur in game
mixedbear#3736,757ce967a,slurs in game
railfurry#4128,57fa4d317,slurs in game
meetcargo#3325,4a75bc627,n word in game
bittymint#3853,50f840d86,spelling out racial slur in game
mightylot#8037,c3a6c1f2d,spelling out racial slur in game
torchfuzzy#9119,32ba64aa0,racial slur ingame name
goatsulpha#1736,c6a128de),slurs in game
paperyflea#9027,None,explicit contents In game involving vulnerable group
gamecrew#6651,None,Racial slur in game
testing#1234,None,test
tenbaronet#5789,7e3902fb0,racial slur in game
holeyslab#6743,6cf06af87,racial slur in game
lunchlucky#8010,9032c63e0,racial slur in game
bhajiweird#5464,None,use of racial slurs in game
starewoody#4235,da65f9047,racial slur in game
westfrilly#7802,50d448df9,racial slur in game
remoteweek#6981,90ceb14d8,racial slur in game and weird content
epicpurr#1819,None,use of racial slurs in game
alphacask#9763,2074b6c3b,racial slur in game
genuinehod#0318,1ccac58bf,racial slur ign
tonalquip#5397,f054cda75,racial slur in game
yeahelpful#7624,876f1b47f,hacking
tamechorus#6950,8dde82e40,racial slur ign
rareverse#3177,None,racial slur in ign
roselatest#0999,None,use of racial slur in game
berrymagic#3480,None,use of racial slur in game
nexthero#5065,None,hacking activity on Nikos regions
huntvague#9689,dea2c01c1,slur in ign
dicenoble#8589,None,joined server looking for hacks
setutility#3985,cebf5051a,homophobic slurs & antisemitic comments in game
chattypool#3949,ea55ceee7,racial slur in game
humblesea#0871,112751090,racial slur in game
codeglassy#0222,e9a71c3d2,racial slur in game
usualdart#7808,52332411c,racial slur in game
usedmiddle#1975,27aef63ab,racial slur in game
sawveggie#7573,b0f1c18df,racial slur in game
actingmane#5165,81b8f1b11,racial slur in game
peatygaff#0789,47bf1ab24,racial slur in game
puptouched#8185,fc98b7600,racial slur in game
alarmfar#2810,None,racial slur in game
spottyhill#7614,5b273d541,making pedo & general inappropriate comments in game
artfuldam#4124,563a046cb,use of racial slurs in game
stageyrose#4965,a1bbf62e1,racial slur in game
hardyparty#8741,c8eda0749,racial slur in game
quietunion#9674,09f38fa15,racial slur in game
droneplumy#9820,a35a18bcf,racial slur in game
listedhalf#7126,99e7146c5,racial slur in game
paltrytax#3409,a15d6a346,racial slur in game
floursepia#4982,1b699413b,racial slur in game
paintstock#2798,d837732dd,racial slur in game
humbletomb#3263,fc504db1f,racial slur in game
mulchgilt#1936,6f3eed522,racial slur in game
pailsteady#3529,2bd8c105c,racial slur in game
nationwise#4692,d9381bb6b,racial slur in game
trueunion#1285,None,spelling racial slurs using reactions
scrubworth#1316,a972d6057,racial slurs in game
beanbriny#0213,be8cfb9ad,racial slur in game
pointsweet#1911,43b398d0b,nsfw game name
envyclever#3638,7ee6de017,racial slurs in game and in name
orbitrainy#4890,None,racial slur in game
sprypad#7253,e1be95ca2,racial slurs in game
thornswift#0969,None,spamming maul in lobbies
edgysphinx#5606,None,use of slurs in server
clawcasual#0680,4dde74a40,racial slur in game
fittedplot#7530,906f66d43,n word in game
webcatchy#7594,6ec9d9632,n word in game
wholepod#6932,615d39aa8,n word in game
skirllean#7886,1a8cd6d01,n word in game
chillcow#6293,72c270ccd,n word in game
satinycud#5646,c6c01380c,n word in game
sevenawake#9626,7ca606ae0,n word in game
primfur#6601,670a82cd2,n word in game
sunscalar#4098,6ee3eaf43,slurs in game
fawnspate#6054,5b54d7f29,n word in game
crunchdark#6287,dee925463,slurs in game
fainthobby#2639,b79320bd9,slurs in game
stonyvase#8489,df0f141a0,n word in game
satedtower#0536,79f7b13e9,slurs in game
oddsscarce#8106,a662e31ec,slurs in game
othersink#2447,a18d2f8de,n word in game
cafelikely#1929,916fb7933,n word in game
epigealawe#0706,0859dc347,n word in game
brownnest#1548,954f82d96,,slurs in game
waxymuzzle#5419,a3d472163,racial slurs
supernight#2882,51fedf6ea,R slur in game, mentioning aids was previously warned for language and content in game disregard of `#rules`
motorcanny#9984,None,had malum installed and refused to remove
curlyquart#4015,None,other account of user who had malum installed & refused to remove
ourrecruit#7791,None,had mod menu installed tried to hide it
superbkohl#0422,None,racist in game name
pluralbug#5217,cf91054b4,racial slurs in game
worldfawn#1085,None,racial slurs in game
dustyspot#6914,feb25ba8d,racial slurs in game
casesome#9046,ad57844ca,racial slurs in game
oakaverage#9192,0aebc840d,racial slurs in game
peakdim#8937,None,alt of thornswift#0969
tawnykelp#4470,None,another alt of random
autosplay#5563,None,racial slurs
feverjolly#7501,c1d62157a,had racist pronouns
humblefuse#6915,None,use of racial slurs in game
shtumrule#3981,None,use of racial slurs
seapurple#6205,683fa9df6,inappropriate predator names in game
greysweet#2518,65070fcd0,teaming in game
morerunway#0960,6b76dc349,Use of multiple accounts alluding to racial slurs and attempted automod evasion
sofacosy#2539,6b76dc349,Use of multiple accounts alluding to racial slurs and attempted automod evasion alt of retropix
grownwhale#8082,None,Nsfw chats in game
matchside#4344,None,Racial slurs in game
copsetarry#0933,None,Nsfw chats in game
bubblyzany#8476,None,racial slurs in game
exoticaide#6629,None,racial slurs in game
themeleggy#7440,None,racial slurs in game
greenywhey#8334,None,attempted to change in game name to racial slur
crypticfun#4059,None,attempted to change in game name to racial slur
justbasics#9705,063ff9851,alt of retropix - banned for alluding racial slurs and multiple ban evasion attempts
glowingpen#6045,None,racial slur as in game name
tweechess#2650,None,racial slurs in game
bornorder#9284,None,racial slurs in game
furryfir#2845,bf247b5e5a,racial slur in game
statecat#0486,6246a9b923,racial slur in game
tendamper#8329,b92ab89408,racial slurs in game
deepwrench#7636,283fbe216f,racial slurs in game
subtlepout#8548,ab49efd37,alt of banned member who alluded to slurs (retro)
greasydhal#8042,d1411676c,alluding to racial slurs in game
test#1389,idk0986532,test
test#1739,None,idk
cartonwild#3843,None,racial slurs in game
cladpickle#9541,None,racial slurs in game
chillclaim#1475,None,NSFW/SA ref HOU
basalworld#6494,None,NSFW/SA ref HOU
swellarty#5302,None,racial slurs in game
mixerspare#7608,None,use of racial slurs in game
prefixcool#5696,None,racial slurs in game
singleden#0183,None,racial slurs in game
testtt#1287,None,None
sleevedbat#7062,0002d17602324bb2a119742f5aca8e69,nsfw
shinycard#8537,0002480ff9c24816af7e1ef5cb3d42a7,racial slurs in game
gallonakin#4546,00027902f4a047c68140618f05008f88,racial slurs in game
waxround#6829,000220f5f6524b65bc4c53d79a7027e8,racist and homophobic in game
loosetwirl#1203,000255e72de84f73a5308bc4bdaddaa9,racial slurs in game
vanwaking#6214,0002150efc654556abccc8ae279c3280,racial slurs in game
deltashiny#5838,0002a04bdbfd401d8af434d780ea8df2,racial slurs in game
suchwell#1738,00020798d6ef46afbd838381cd4f1445,nsfw in game
slowbaton#4711,0002d989c63b48bdaada9c2ef2a07e7f,racial slurs in game
satinsole#4538,0002cada39d6447e932795baff8120cf,nsfw in game
drawnocean#7397,00025653ccb448acb8a13bd37340850e,racial slurs in game
gravelsolo#3761,0002da5d4884477198c15c3df2c88540,racial slurs in game
dailyskirl#5842,0002de2e3de54d8d9c69cda597cc7036,racial slurs in game
limpiddue#8525,0002dd22e0514a8dbd4a8cb28e8ba9e7,nsfw in game
snoozyheap#7709,0002f5bc8ed141de857a1090e6d96fc7,racial slurs in game
shipfree#0284,00028b143f4d4b588776e18fc778b33a,nsfw in game
pearlpatch#8934,00022c1853bf473e9be8af89845c5652,racial slurs in game
bluepear#7322,00021a79eb6744a6bbe6191a28696e90,nsfw in game
mucousduct#3921,0002555dd47d42818b1fb2dd17e54d8e,racial slurs in game
conoidcos#7366,0002c33fd2944027b8cea2820fbd039f,nsfw in game
gatehale#4232,0002ea501c7240ff8e027f941417dbaf,slurs in game
budcurrent#7904,0002448bdd7f48c2a236151c4c67008d,racial slurs in game
youngclue#3969,0002fa9ad95e4defb3895b50b987b9ee,racial slurs in game
remisssake#1761,00022e03278f46b58f7f1e0fe2d3fa76,slurs in game
shyplumber#9798,000258d23c864fe9919d4b39aa104de2,racial slurs in game
feasthusky#4550,00029f75516f4c41bcf36e107a613449,racial slurs in game
mailpally#3659,00026d868d234e81be75edd194cf7a0f,racial slurs in game
nowtmaroon#9792,000299181b2748c68d8cc855fcce28ef,nsfw in game
overrueful#7971,0002cbbc1e5047bf874fa862abf0dbc5,nsfw in game
oxygensole#1453,0002e1e76d8b40aa96ba601b8e04ba4c,racial slurs in game
firroseate#5406,00022227456a4662890a2c3b3cad479f,racial slurs in game
veganray#4397,0002166e60664d75bd25f0eb6c552bc6,racial slurs in game
treatbroad#5485,000220d255924dc0b3466c2268013871,racial slurs in game
buselderly#7301,00029374f9f0481b9a5642c1305ef2a6,racist and homophobic in game
airypeople#1813,0002518a1d2a4cab889e1a9220b8d73c,nsfw in game
pointdusky#2733,0002d89e022d4cdbb7d8ba910d5ca682,nsfw in game
pricedried#6905,0002ea19190a452db9a6e49050e950a2,racial slurs in game
vanruinous#6226,000297a30233446fb565a6f52678c6b2,repeating racial slurs in game
northwhim#4289,0002f32cf91c44ada0e32f741f0702a2,racial slurs in game
everycrisp#8087,0002cd26470d49c99ede45f6c8f292ba,nsfw in game
ownnomad#7164,00025a32820848cdb5ccd87a4a9bd8a0,nsfw in game
proofprime#7398,0002d041bcfd42f5a3e7d97a7033cfd1,nsfw in game
entirejar#6296,0002211348c04bb989acd52556cc4836,racial slurs in game
tilltinny#3636,0002bbacebb049c7b79997701ffa388e,slurs in game
freedairy#1017,000220d9c0074510b74b55e7d3a0d231,racial slurs in game
shedblase#9015,0002578cd29543599223a068d0b5f91a,nsfw in game
khakitrap#8873,0002578c7c3a47da8d6c2be8adb483e4,slurs in game
stickhoppy#0316,0002be77102b4874b64cc2a12c898f61,slurs in game
stocktwain#0528,00022980facb491d91b78a0e935a0624,nsfw in game
greyexit#5549,000295f295644b7a859f3ff10e34a841,racial slurs in game
ghostwitty#7457,0002caa4ec814d3bbff7b8162b849761,racial slurs in game
freemanshy#5766,00022a77bb8c4c07867cbb319fe91063,nsfw in game
pitflambe#8832,0002284352ef4e4e8ced8e382f2f47f3,racial slurs in game
recordwall#5790,00022e486c1c4081b9c6d3222813fb78,nsfw in game
loadedwit#7866,None,nsfw in game
garbledone#6425,0002d1b245334699bf767fec2f824865,racial slurs in game
borncamera#6470,0002e551aefc4d4991e63792588da60f,nsfw in game
grittyjoke#2187,00022c26297b4e73b17e6adb869ce108,racial slurs in game
blankdhow#4251,00025c9fcfea4bf88be0d37209f7f8cf,nsfw in game
sidemeteor#5449,000206fabd9f4edcb014f8adbd48b5e4,racial slurs in game
twincelery#9457,0002dab6ddff442fbe95eb2b335a4ead,racial slurs in game
versesolar#3069,0002368bc5004eb1ab7df378e43b4dc5,racial slurs in game
